E.La Saint Patrick, qui a lieu le 17 mars est une fête à ne pas manquer lorsque l'on n'est pas en PACES.	4. Concernant la spéciation (4R) :	UE7S110104	VRAI							segmo
E. Pour les Stoïciens, il faut avoir peur de la mort.	13. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140113	FAUX	E. Faux, au contraire, pour les Stoïciens, il ne faut pas avoir peur de la mort, il faut se soumettre à notre destin						
A. La naissance du christianisme engendre la naissance de l'individualité moderne.	14. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140114	VRAI							
B. Au Moyen Âge, la mort souhaitée est brutale.	14. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140114	FAUX	B. Faux, au Moyen Âge la mort souhaitée est préparée (pub, avertissement...)						
C. La grande épidémie de peste du XVe siècle change le regard porté sur la mort.	14. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140114	FAUX	C. Faux, la grande épidémie de peste change bien le regard sur la mort (peur, danses macabres...) mais au XIVème siècle						
D. Au siècle des Lumières, la mort est considérée comme un obstacle, un échec.	14. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140114	VRAI							
E. Le XXème siècle est marqué par la privatisation et la médicalisation de la mort.	14. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140114	FAUX	E. Faux, le XXème siècle est marqué par une déconstruction et une désymbolisation de la mort. <br>La privatisation et médicalisation de la mort apparaissent plus tôt aux XVIII et XIXème siècles						
A. La vieillesse est vécue comme fléau, un suicide social.	15. Parmi les propositions suivantes concernant la mort de nos jours, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140115	VRAI							
B. La mort est entièrement médicalisée.	15. Parmi les propositions suivantes concernant la mort de nos jours, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140115	VRAI							
C. La mort souhaitée est brusque.	15. Parmi les propositions suivantes concernant la mort de nos jours, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140115	VRAI							
D. La loi Leonetti stipule qu'il ne faut pas soulager un patient s'il existe des risques.	15. Parmi les propositions suivantes concernant la mort de nos jours, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140115	FAUX	D. Faux, au contraire, la loi Leonetti (2005) stipule de soulager les patients quels que soient les risques						
E. Dans notre société actuelle, le temps de deuil est respecté.	15. Parmi les propositions suivantes concernant la mort de nos jours, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140115	FAUX	E. Faux, le deuil n'a pas sa place dans notre société de performance.						
A. Les adultes subissent plus le chômage que les jeunes de 15 à 24 ans.	16. Concernant la démographie en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140116	FAUX	A. Faux, la catégorie des 15-24 ans est la plus touchée par le chômage						
B. Les catégories socioprofessionnelles influent sur la santé.	16. Concernant la démographie en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140116	VRAI							
C. Il y a deux fois plus de personnes en cours d'étude que de personnes sans diplômes.	16. Concernant la démographie en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140116	FAUX	C. Faux, il y a 30% de personnes sans diplômes et 10% en cours d'étude						
D. Une bonne santé est un facteur statistiquement favorable à l'emploi des personnes.	16. Concernant la démographie en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140116	VRAI							
E. 87% environ de la population active n'a pas le baccalauréat.	16. Concernant la démographie en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140116	FAUX	E. Faux, il y a environ 70% de la population active qui a le baccalauréat (il faut penser au diplôme supérieur et au bac +2)						
A. C'est un phénomène irréversible.	17. Concernant le vieillissement démographique en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140117	FAUX	A. Faux, le vieillissement est collectif et réversible (regain de natalité) contrairement à la sénescence qui est individuelle et irréversible (malheureusement...)						
B. Il entraîne une augmentation du recours aux soins.	17. Concernant le vieillissement démographique en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140117	VRAI							
C. Il est uniquement lié à l'efficacité des soins.	17. Concernant le vieillissement démographique en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140117	FAUX	C. Non le vieillissement est multifactoriel, il faut notamment prendre en compte la baisse de la mortalité infantile qui a eu un gros impact						
D. La part des personnes âgées dans notre population croît plus vite que les autres classes d'âges.	17. Concernant le vieillissement démographique en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140117	VRAI							
E. La part des personnes de 75 ans et plus représente 1/10 ème de la population totale.	17. Concernant le vieillissement démographique en France, indiquez la (ou les) proposition(s) exacte(s) :	UE7T140117	VRAI							
A. La population croit d'environ 300 000 habitants chaque année.	18. Concernant la croissance démographique en France, indiquez la ou les proposition(s) exacte(s).	UE7T140118	VRAI	A. (chiffres 2012)						
B. Le solde migratoire contribue à cette croissance plus fortement que le solde naturel.	18. Concernant la croissance démographique en France, indiquez la ou les proposition(s) exacte(s).	UE7T140118	FAUX	B. Faux. C'est l'inverse: le solde naturel est de + 250.000, le solde migratoire de + 54.000						
C. La croissance démographique n'est due que pour une part minime à l'allongement de l'espérance de vie.	18. Concernant la croissance démographique en France, indiquez la ou les proposition(s) exacte(s).	UE7T140118	FAUX	C. Faux. Au contraire, l'augmentation de l'espérance de vie est actuellement le principal facteur de croissance démographique en France						
D. L'indice de fécondité est inférieur au seuil de renouvellement des générations.	18. Concernant la croissance démographique en France, indiquez la ou les proposition(s) exacte(s).	UE7T140118	VRAI	D. Le seuil de renouvellement est estimé à 2,1 enfants par femme. En France l'indice de fécondité est devenu inférieur à 2 en 2013						
E. Le solde migratoire est d'environ +250 000 par an.	18. Concernant la croissance démographique en France, indiquez la ou les proposition(s) exacte(s).	UE7T140118	FAUX	E. Faux. + 54 000						
A. La population en âge d'activité augmente plus rapidement que la population totale.	19. Concernant la structure de la population en France et son évolution, indiquez la ou les proposition(s) exacte(s).	UE7T140119	FAUX	A. Faux. La population active augmente moins rapidement que la population totale, c'est pourquoi sa part dans la population devrait passer de 54 % à 46% d'ici 2060						
B. Le nombre de personnes âgées de plus de 75 ans est supérieur à celui des moins de 20 ans.	19. Concernant la structure de la population en France et son évolution, indiquez la ou les proposition(s) exacte(s).	UE7T140119	FAUX	B. Faux. >75 : 6 millions soit 9 % ; <20 : 16 millions soit 25 %						
C. On compte environ 3,5 millions d'étrangers résidant en France.	19. Concernant la structure de la population en France et son évolution, indiquez la ou les proposition(s) exacte(s).	UE7T140119	VRAI	C. Vrai. 3,5 millions d'étrangers et de 4,5 millions d'immigrés, la différence correspondant aux immigrés ayant acquis la nationalité française						
D. La part des 65 ans et plus est globalement plus élevée dans le Nord que dans le Sud de la France.	19. Concernant la structure de la population en France et son évolution, indiquez la ou les proposition(s) exacte(s).	UE7T140119	FAUX	D. Faux. C'est l'inverse : plus de vieux dans le sud (pour 3 raisons principales : on fait plus d'enfants dans le nord, on vit plus vieux dans le sud et on quitte plus souvent le nord pour aller passer sa retraite dans le sud que l'inverse)						
E. D'après les projections de l'INSEE, la part des plus de 75 ans devrait presque doubler d'ici 2060.	19. Concernant la structure de la population en France et son évolution, indiquez la ou les proposition(s) exacte(s).	UE7T140119	VRAI	E. Vrai. Elle devrait passer de 8,5 à 16 %						
A. La population active correspond à la part de la population qui occupe un emploi.	20. Concernant les indicateurs démographiques et leur définition indiquez la ou les proposition(s) exacte(s) :	UE7T140120	FAUX	A. Faux. Les chômeurs appartiennent à la population active, c'est bien pourquoi le taux de chômage est exprimé en % de la population active. Il existe différentes définitions, mais retenez que la population active correspond à la population en âge de travailler						
B. L'espérance de vie correspond à l'âge moyen de survenue des décès.	20. Concernant les indicateurs démographiques et leur définition indiquez la ou les proposition(s) exacte(s) :	UE7T140120	FAUX							
C. L'indice synthétique (ou conjoncturel) de fécondité correspond au nombre moyen d'enfants par femme en âge de procréer.	20. Concernant les indicateurs démographiques et leur définition indiquez la ou les proposition(s) exacte(s) :	UE7T140120	FAUX	C. Faux. L'indice synthétique de fécondité correspond au nombre moyen d'enfants qu'auraient à 50 ans les femmes d'une génération fictive si leur fécondité aux différents âges de la vie était identique aux taux observés l'année considérée dans les différentes classes d'âges de femmes entre 15 et 49 ans						
D. Le taux de mortalité correspond au rapport entre le nombre de décès et la population totale.	20. Concernant les indicateurs démographiques et leur définition indiquez la ou les proposition(s) exacte(s) :	UE7T140120	VRAI							
E. Le taux de fécondité correspond au rapport entre le nombre de naissances et la population totale.	20. Concernant les indicateurs démographiques et leur définition indiquez la ou les proposition(s) exacte(s) :	UE7T140120	FAUX	E. Faux. Le rapport entre le nombre de naissances et la population correspond au taux de natalité. Le taux de fécondité correspond au rapport entre le nombre de naissances et la population féminine en âge de procréer (15 – 49 ans par convention). Le taux de fécondité est généralement calculé pour une classe d'âge donnée (30-35 ans par exemple)						
A. Est définie qu'en référence à un système donné.	1. Concernant la normalité :	UE7T110101	VRAI							
B. Une personne est dite normale lorsqu'elle arrive à vivre avec ses difficultés, sans limiter ses possibilités, sans faire souffrir son entourage, et sans rejeter les autres.	1. Concernant la normalité :	UE7T110101	FAUX	B. Faux, ATTENTION ! Une personne est dite normale lorsqu'elle ne se fait pas rejeter par les autres.						
C. Il existe trois définitions de la normalité, dont une qui a un rapport avec la théorie des valeurs.	1. Concernant la normalité :	UE7T110101	VRAI							
D. Les frontières entre le normal et le pathologique, comme celle entre la psychologie médicale et la psychiatrie, sont clairement identifiées.	1. Concernant la normalité :	UE7T110101	FAUX	D. Faux, au contraire entre le normal/pathologique, et la psycho médicale/psychiatrie il existe un continuum.						
E. Si le patient a une maladie chronique, il y a alors nécessité de recréer de nouvelles normes.	1. Concernant la normalité :	UE7T110101	VRAI							
A. Elle est liée à la notion de mal être.	2. A propos de la santé :	UE7T110102	VRAI							
B. Elle peut être remise en cause par les valeurs de l'individu et de la société.	2. A propos de la santé :	UE7T110102	VRAI							
C. 24,1% des français ont déjà consommé des psychotropes.	2. A propos de la santé :	UE7T110102	FAUX	C. Faux, ATTENTION ! C'est 21,4% de français qui ont déjà consommé des psychotropes.						
D. Dans l'avenir il y a un risque d'une psychiatrisation du social.	2. A propos de la santé :	UE7T110102	VRAI	D.&nbsp;Vrai, dans un futur proche, la demande de soins connaîtra une inflation, elle sera de plus en plus revendiquée et médicalisée : on parle de psychiatrisation du social.						
E. En 2004, les psychotropes représentent la 2ème source de financement des prescriptions, avec 300 millions d'euros.	2. A propos de la santé :	UE7T110102	FAUX	E. Faux, en 2004 les psychotropes représentent 1 milliard d'euros, alors qu'en 1980 nettement moins, soit 300 millions d'euros.&nbsp;<div>Pour information : les médecins généralistes sont les premiers prescripteurs de psychotropes. La principale raison, malheureusement, est qu'une prise en charge adaptée (= verbalisation) prend trop de temps. Or les médecins sont payés au nombre d'honoraires, le compte est vite fait... ils prescrivent des psychotropes.</div>						
A. Sont des pathologies spécifiques.	3. Les plaintes fonctionnelles :	UE7T110103	FAUX	A. Faux !! car les plaintes fonctionnelles ne sont pas des pathologies : ce sont des plaintes.						
B. Sont des plaintes relevant d'un malaise dont l'expression se fait par le corps.	3. Les plaintes fonctionnelles :	UE7T110103	VRAI							
C. Elles sont retrouvées seulement en médecine générale.	3. Les plaintes fonctionnelles :	UE7T110103	FAUX	C. Faux : elles peuvent être retrouvées dans TOUTES !! les spécialités médicales.						
D. Leur prise en charge est classique.	3. Les plaintes fonctionnelles :	UE7T110103	FAUX							
E. Elles sont synonymes d'aucune souffrance.	3. Les plaintes fonctionnelles :	UE7T110103	FAUX							
B. Son rôle est de s'impliquer dans son projet de soins.	4. Concernant le rôle du médecin :	UE7T110104	VRAI							
C. Il faut un juste milieu entre sous et sur information, dans le cadre de la loi 2000.	4. Concernant le rôle du médecin :	UE7T110104	FAUX	C. Il faut bien un juste milieu entre sous et sur information, en respectant la loi de 2002.						
D. La prise en charge et l'accompagnement varient en fonction du patient.	4. Concernant le rôle du médecin :	UE7T110104	VRAI							
E. Des patients peuvent refuser leurs soins si le médecin n'en a pas expliqué leur finalité.	4. Concernant le rôle du médecin :	UE7T110104	VRAI							
A. La psychologie médicale est centrée sur la relation médecin malade, indispensable à toute fonction médicale.	5. A propos des différentes spécialités :	UE7T110105	VRAI							
B. La psychologie médicale rentre en interaction avec le corps soignant et s'articule autour des aspects du sujet.	5. A propos des différentes spécialités :	UE7T110105	VRAI							
C. La dépression rentre dans la psychologie médicale.	5. A propos des différentes spécialités :	UE7T110105	FAUX	C. La dépression est un signe de maladie psychiatrique.						
D. La psychiatrie est la spécialité des troubles mentaux, répondant à une sémiologie précise.	5. A propos des différentes spécialités :	UE7T110105	VRAI							
E. Toutes les pathologies psychiatriques auraient pu être évitées par une prise en charge adaptée et précoce.	5. A propos des différentes spécialités :	UE7T110105	FAUX	E. Seulement certaines pathologies						
A. Sont identifiés dans le DSM IV.	6. A propos des troubles de la personnalité :	UE7T110106	VRAI	A. Vrai et le sigle signifie « Manuel Diagnostique et Statistiques » des troubles mentaux (DSM).						
B. Une personnalité schizotypique entraîne un détachement des relations sociales et une gêne dans les relations proches.	6. A propos des troubles de la personnalité :	UE7T110106	FAUX	B. Faux. Un trouble schizotypique n'entraîne pas un détachement des relations sociales, c'est le cas de la personnalité schizoïde. Attention à ne pas les confondre !						
C. Une personnalité narcissique quête l'attention par besoin d'être admiré.	6. A propos des troubles de la personnalité :	UE7T110106	FAUX	C. Faux. La quête d'attention est retrouvée dans l'histrionisme, pas dans le narcissisme.						
D. Il est possible de posséder plusieurs traits de personnalité.	6. A propos des troubles de la personnalité :	UE7T110106	VRAI	D. Vrai (personnalité non spécifié).						
E. Une personnalité évitante provoquera une hypersensibilité au jugement négatif d'autrui et une inhibition sociale.	6. A propos des troubles de la personnalité :	UE7T110106	VRAI	E. Vrai, voir déf dans le cours.						
A. Elle aborde le développement et la mise en place de la personnalité et du tempérament.	7. Au sujet de la psychologie humaine :	UE7T110107	FAUX	A. Faux, elle n'aborde pas la mise en place et le développement du tempérament.						
B. Il s'agit d'une étude de l'homme dans ses phénomènes psychiques.	7. Au sujet de la psychologie humaine :	UE7T110107	VRAI	B. Vrai, comprendre dans phénomènes psychiques, états de conscience.						
C. Les lois et l'explication de la genèse des différents états de conscience y sont recherchées.	7. Au sujet de la psychologie humaine :	UE7T110107	VRAI	C. Vrai, voir cours.						
D. La construction et le fonctionnement du langage s'y attache.	7. Au sujet de la psychologie humaine :	UE7T110107	VRAI	D. Vrai, voir cours.						
E. Elle permettrait éventuellement de modifier les comportements et conduites en abordant des notions comme la mémoire.	7. Au sujet de la psychologie humaine :	UE7T110107	VRAI	E. Vrai, voir cours.						
A. Le phénotype résulte de l'interaction du milieu de l'individu et de son genome.	8. Concernant les interactions :	UE7T110108	VRAI	A. Vrai, voir déf.						
B. Le génotype permet des modifications du phénotype selon le vécu de l'individu.	8. Concernant les interactions :	UE7T110108	VRAI	B. Vrai, histoire : vécu de l'individu.						
C. Le génome correspond à l'ensemble ou une partie de la composition d'un individu.	8. Concernant les interactions :	UE7T110108	FAUX	C. Faux, composition génétique d'un individu.						
D. Les interactions font évoluer le débat inné acquis vers le débat maturation apprentissage.	8. Concernant les interactions :	UE7T110108	VRAI	D. Vrai, voir cours.						
E. Le phénotype est non observable.	8. Concernant les interactions :	UE7T110108	FAUX	E. Faux, le phénotype est une caractéristique observable.						
A. Sa réaction en interaction avec son entourage est une composante de la personne actuelle.	9. Concernant la personnalité :	UE7T110109	VRAI	A. Vrai, voir cours.						
B. Son développement commence dès la vie extra-utérine jusqu'à l'âge adulte.	9. Concernant la personnalité :	UE7T110109	FAUX	B. Faux, son développement commence dès la vie INTRA-utérine et bien jusqu'à l'âge adulte.						
C. Un trouble de la personnalité correspond à un mode transitoire de fonctionnement particulier, entravant le fonctionnement psychique.	9. Concernant la personnalité :	UE7T110109	FAUX	C. Faux, un trouble de la personnalité est durable, et non transitoire.						
D. Dérive du mot grec “persona” qui signifie “masque”.	9. Concernant la personnalité :	UE7T110109	FAUX	D. Faux, le mot “persona” est latin.						
E. Est une organisation stable des différents aspects de l'individu en interaction avec son milieu.	9. Concernant la personnalité :	UE7T110109	FAUX	E. Faux, la personnalité est une organisation dynamique, et non stable.						
A. Le médecin doit être celui de l'âme et du corps, soma et psyché non intriqués.	10. La psychologie médicale :	UE7T110110	FAUX	A. Faux, soma psyché intriqués.						
B. Le phénomène croissant d'hypertechnicité de la médecine nécessite de mettre au premier plan la relation médecin malade.	10. La psychologie médicale :	UE7T110110	VRAI	B. Vrai car l'hypertechnicité peut “déshumaniser” la relation médecin-malade.						
C. Est appliquée dans des situations où le médecin peut être impliqué.	10. La psychologie médicale :	UE7T110110	VRAI	C. Vrai, voir cours.						
D. Selon le précepte hippocratique, les maladies sont soignées avant tout.	10. La psychologie médicale :	UE7T110110	FAUX	D. Faux, ce sont les malades et non les maladies qui sont soignés avant tout.						
E. Permet la prise de conscience de la relation soignant soigné, simple mais primordiale.	10. La psychologie médicale :	UE7T110110	FAUX	E. Faux, la relation soignant-soigné est loin d'être simple, mais franchement complexe.						
A. Est l'étude des populations humaines en rapport avec leur renouvellement par le jeu des naissances, des décès et des mouvements migratoires.	11. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? La démographie :	UE7T110111	VRAI							
B. Le mode de vie n'influe pas sur la survenue des problèmes de santé.	11. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? La démographie :	UE7T110111	FAUX	B : au contraire, le mode de vie influence la survenue des problèmes de santé par le biais des comportements.						
C. Le recensement est une enquête transversale s'effectuant en roulement.	11. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? La démographie :	UE7T110111	VRAI	C : en effet, depuis 2004 les données statistiques sont recueillies par zones tournantes (un petit groupe de population, puis un autre... etc).						
D. L'état civil permet un recueil de données dynamiques.	11. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? La démographie :	UE7T110111	VRAI							
E. La connaissance des disparités démographiques ne permet pas d'adapter les soins à la population.	11. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? La démographie :	UE7T110111	FAUX							
A. Aujourd'hui en France, on compte environ 55 millions d'habitants.	12. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant l'état actuel de la population :	UE7T110112	FAUX	A : 65 millions.						
B. Les moins de 20 ans représentent environ la moitié de la population.	12. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant l'état actuel de la population :	UE7T110112	FAUX	B : 1⁄4 de la population.						
C. La population d'âge actif représente environ 60%.	12. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant l'état actuel de la population :	UE7T110112	VRAI							
D. Les personnes de 75 ans et plus représentent environ 6 millions.	12. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant l'état actuel de la population :	UE7T110112	VRAI							
E. Le vieillissement démographique est irréversible.	12. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant l'état actuel de la population :	UE7T110112	FAUX	E : à l'inverse du vieillissement au terme de sénescence, le vieillissement démographique est réversible (immigration pour y pallier, afin de rééquilibrer la balance actifs/inactifs  protection sociale, financement des retraites, cotisations sociales).						
A. Les conséquences du vieillissement n'ont aucun impact sur l'environnement de la personne âgée.	13. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population âgée :	UE7T110113	FAUX	A : les conséquences du vieillissement touchent l'environnement de la personne âgée que ce soit au niveau du logement (insalubrité, manque de modernisation, infrastructures inadaptées) ou du confort.						
B. Les conséquences du vieillissement peuvent entraîner un appauvrissement des relations sociales.	13. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population âgée :	UE7T110113	VRAI							
C. Le recours aux soins des personnes âgées est souvent lié à leurs ressources.	13. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population âgée :	UE7T110113	VRAI	C : beaucoup de personnes âgées vivent en dessous du seuil de pauvreté, surtout vers 75 ans et plus.						
D. Les problèmes de santé augmentent de manière importante après 75 ans.	13. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population âgée :	UE7T110113	VRAI							
E. Les personnes âgées sont très présentes dans le nord et l'ouest de la France.	13. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population âgée :	UE7T110113	FAUX	E : surtout présentes dans le sud.						
A. Les femmes ont en général plus recours à la prévention que les hommes.	14. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population des femmes en France :	UE7T110114	VRAI							
B. Aujourd'hui, l'âge de naissance du premier enfant est aux alentours de 25 ans.	14. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population des femmes en France :	UE7T110114	FAUX	B : l'âge de naissance du premier enfant est aujourd'hui aux alentours de 30 ans (26 ans en 1990).						
C. Leur engagement dans la formation et dans les activités professionnelles explique en partie le recul de l'âge de procréer.	14. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population des femmes en France :	UE7T110114	VRAI							
D. Le recul de l'âge du premier enfant entraîne une augmentation des grossesses à risque.	14. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population des femmes en France :	UE7T110114	VRAI							
E. La tendance générale est à une diminution du nombre d'enfants par femme.	14. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la population des femmes en France :	UE7T110114	VRAI							
A. Le taux de natalité correspond au nombre de naissances observées pendant une année rapporté à la population totale.	15. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la natalité :	UE7T110115	VRAI							
B. Le taux de fécondité correspond au nombre de naissances rapporté à l'ensemble des femmes de la population.	15. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la natalité :	UE7T110115	FAUX	B : le taux de fécondité est rapporté aux femmes en âge de procréer.						
C. De nos jours, le taux de fécondité assure le seuil de remplacement des générations.	15. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la natalité :	UE7T110115	FAUX	C : le taux de fécondité de 2,01 enfants par femme en âge de procréer n'assure pas le seuil de remplacement des générations (il devrait être de 2,1 pour l'assurer).						
D. Les femmes en âge de procréer ont un âge compris entre 15 et 49 ans.	15. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la natalité :	UE7T110115	VRAI							
E. En 2010, en France, le nombre de naissances s'élève à environ 828 000.	15. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la natalité :	UE7T110115	VRAI							
A. Le taux de mortalité correspond au nombre de décès rapporté à la population moyenne de l'année.	16. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la mortalité :	UE7T110116	VRAI							
B. En 2010, on compte environ 750 000 décès dans la population française.	16. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la mortalité :	UE7T110116	FAUX	B : environ 545 000 décès.						
C. L'espérance de vie est de 85 ans pour les femmes et de 78 ans pour les hommes.	16. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la mortalité :	UE7T110116	VRAI							
D. La différence d'espérance de vie entre les hommes et les femmes s'explique par des modes de vie différents.	16. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la mortalité :	UE7T110116	VRAI							
E. La mesure de la mortalité infantile permet d'apprécier la performance d'un système de soins.	16. Parmi les propositions suivantes, laquelle (ou lesquelles) est (sont) exacte(s) ? Concernant la mortalité :	UE7T110116	VRAI							
A. La prévention tertiaire permet de réduire sensiblement l'incidence des maladies infectieuses.	17. Concernant la prévention :	UE7T110117	FAUX							
B. La prévention primaire inclue des actions collectives.	17. Concernant la prévention :	UE7T110117	VRAI							
C. La mortalité due à la consommation de tabac augmente chez les femmes.	17. Concernant la prévention :	UE7T110117	VRAI							
D. La consommation d'alcool cause en France 4 000 décès par an.	17. Concernant la prévention :	UE7T110117	FAUX							
E. La politique de réduction des risques liés à la consommation de drogues utilise des produits de substitution.	17. Concernant la prévention :	UE7T110117	VRAI							
A. La morbidité se définit comme « le nombre de personnes malades ou le nombre de cas de maladies dans une population déterminée, à un moment donné ».	18. Concernant la morbidité en France :	UE7T110118	VRAI							
B. La prévalence d'une maladie donnée est le nombre de cas de celle-ci apparus dans une population pendant une année.	18. Concernant la morbidité en France :	UE7T110118	FAUX							
C. La morbidité recueillie par l'intermédiaire du PMSI est une morbidité diagnostiquée.	18. Concernant la morbidité en France :	UE7T110118	VRAI							
D. Le financement des établissements de santé s'appuie sur la morbidité hospitalière.	18. Concernant la morbidité en France :	UE7T110118	VRAI							
E. Les hommes se sentent davantage en mauvaise santé que les femmes.	18. Concernant la morbidité en France :	UE7T110118	FAUX	contraire						
A. Les ALD sont des affections comportant un traitement prolongé et une thérapie particulièrement coûteuse.	19. Concernant les Affections Longues Durées (ALD) et le Réseau Sentinelles:	UE7T110119	VRAI							
B. Les ALD donnent droit à une exonération du ticket modérateur pour tous les actes en rapport avec celles-ci.	19. Concernant les Affections Longues Durées (ALD) et le Réseau Sentinelles:	UE7T110119	VRAI							
C. L'Assurance Maladie assure la gratuité des soins pour une ALD dans 60% des cas.	19. Concernant les Affections Longues Durées (ALD) et le Réseau Sentinelles:	UE7T110119	FAUX							
D. Le Réseau Sentinelles est essentiellement composé de médecins spécialistes exerçant dans des structures publiques.	19. Concernant les Affections Longues Durées (ALD) et le Réseau Sentinelles:	UE7T110119	FAUX	médecins généralistes libéraux						
E. Le Réseau Sentinelles est un système national de surveillance permettant le recueil, l'analyse, la prévision et la redistribution en temps réel de données épidémiologiques issues de l'activité de médecins généralistes libéraux.	19. Concernant les Affections Longues Durées (ALD) et le Réseau Sentinelles:	UE7T110119	VRAI							
A. La médicalisation de l'accouchement a permis une forte réduction de la mortalité périnatale.	20. Concernant la santé de la mère et de l'enfant en France :	UE7T110120	VRAI							
B. La proportion de naissances prématurées est en nette diminution.	20. Concernant la santé de la mère et de l'enfant en France :	UE7T110120	FAUX							
C. Le nombre de femmes accouchant après 35 ans est en augmentation.	20. Concernant la santé de la mère et de l'enfant en France :	UE7T110120	VRAI							
D. La proportion d'accouchement par césarienne est en diminution.	20. Concernant la santé de la mère et de l'enfant en France :	UE7T110120	FAUX							
E. Les femmes qui résident en France ont leur premier enfant à 28,5 ans en moyenne (source Ined 2008).	20. Concernant la santé de la mère et de l'enfant en France :	UE7T110120	VRAI							
A. Le cancer est la première cause de décès chez la femme.	21. Concernant la mortalité et la déficience en France :	UE7T110121	FAUX	cardio-vasculaire contrairement aux hommes : cancer						
B. Les maladies de l'appareil circulatoire constituent la première cause de décès chez l'homme.	21. Concernant la mortalité et la déficience en France :	UE7T110121	FAUX	cancer chez H<br>cardio-vasculaire chez F						
C. La mortalité prématurée se définit par un décès survenu avant l'âge de 25 ans.	21. Concernant la mortalité et la déficience en France :	UE7T110121	FAUX							
D. La déficience est l'altération d'un organe ou d'une fonction physiologique du fait d'une maladie.	21. Concernant la mortalité et la déficience en France :	UE7T110121	VRAI							
E. Dans la population française, 2 personnes sur 10 sont déficientes.	21. Concernant la mortalité et la déficience en France :	UE7T110121	FAUX							
