C. Le génotype est l'état d'un caractère observable chez un être vivant	25. Concernant le séquençage des génomes:	UE7S110325	FAUX	C.c'est le phénotype qui permet cela)						segmo
A. Les soins de courte durée sont représentés par les MCO : médecine cardiologie obstétrique	24. Concernant les différents types de soin, indiquer les propositions vraies	UE7T130324	FAUX	A. MCO : Médecine Chirurgie Obstétrique						
B. Les patients en soins de suite et de réadaptation arrivent généralement des soins de courte durée	24. Concernant les différents types de soin, indiquer les propositions vraies	UE7T130324	VRAI							
C. Les soins de longue durée concernent principalement des patients âgés, dépendants et malades	24. Concernant les différents types de soin, indiquer les propositions vraies	UE7T130324	VRAI							
D. Les médecins traitants s'occupent des personnes hospitalisées à domicile	24. Concernant les différents types de soin, indiquer les propositions vraies	UE7T130324	VRAI							
E. L'hospitalisation à domicile concerne des soins très spécifiques.	24. Concernant les différents types de soin, indiquer les propositions vraies	UE7T130324	VRAI							
A. La certification repose sur un manuel qui décrit des critères garantissant la bonne organisation des soins dans un établissement	25. Concernant la démarche qualité des établissements de santé, indiquer les propositions vrai	UE7T130325	VRAI							
B. La certification des établissements est réalisée par l'ANAES	25. Concernant la démarche qualité des établissements de santé, indiquer les propositions vrai	UE7T130325	FAUX	B. Faux, par la Haute Autorité de Santé						
C. L'établissement de santé réalise d'abord une auto évaluation avant d'être évalué	25. Concernant la démarche qualité des établissements de santé, indiquer les propositions vrai	UE7T130325	VRAI							
D. Le système de vigilance garantit la sécurité des patients	25. Concernant la démarche qualité des établissements de santé, indiquer les propositions vrai	UE7T130325	VRAI							
E. L'évaluation des pratiques professionnelles est réalisée uniquement pour les professionnels de santé salariés dans les établissements de santé. 	25. Concernant la démarche qualité des établissements de santé, indiquer les propositions vrai	UE7T1303	FAUX	E. Faux, également pour les médecins libéraux.						
A. Elles furent très pratiquées jusqu'à la Renaissance, mais ont aujourd'hui disparu	26. Parmi les propositions suivantes concernant les médecines parallèles, indiquez la (les) proposition(s) vraie(s) :	UE7T130326	FAUX	A. Faux ! Les médecines parallèles, aussi appelées médecines non conventionnelles, sont encore très répandues aujourd'hui, y compris en France, sous diverses formes (cf. cours)						
B. Elles sont souvent pratiquées par les omnipraticiens	26. Parmi les propositions suivantes concernant les médecines parallèles, indiquez la (les) proposition(s) vraie(s) :	UE7T130326	FAUX	B. Attention à ne pas confondre les omnipraticiens (terme qui désigne les médecins généralistes !) et les tradipraticiens : guérisseurs, magnétiseurs et autres personnes qui pratiquent ces médecines parallèles dans des pays tels que la France ; attention, les tradipraticiens (terme de l'OMS) sont aussi les personnes chargées de la santé dans de nombreuses régions du monde où la médecine « scientifique » n'est pas encore accessible à tous ou n'est pas entrée dans les mœurs : dans certains pays africains, par exemple ; dans ces pays, on ne peut pas dire qu'ils font de la médecine parallèle, mais plutôt de la médecine traditionnelle (= ethnomédecine)						
C. Elles ont souvent été qualifiées de « mauvaises sciences » par certains, de « pseudosciences » par d'autres	26. Parmi les propositions suivantes concernant les médecines parallèles, indiquez la (les) proposition(s) vraie(s) :	UE7T130326	VRAI							
D. Les médecines parallèles sont toujours néfastes pour la société et les individus	26. Parmi les propositions suivantes concernant les médecines parallèles, indiquez la (les) proposition(s) vraie(s) :	UE7T130326	FAUX	D. Certaines formes de médecines parallèles peuvent avoir des effets bénéfiques, particulièrement sur les maux d'ordre psychologique, par le bien être et l'effet placebo qu'elles sont susceptibles de procurer						
E. Les pratiques psychologiques et spirituelles en font partie et exposent à des dérives sectaires.	26. Parmi les propositions suivantes concernant les médecines parallèles, indiquez la (les) proposition(s) vraie(s) :	UE7T130326	VRAI							
A. Galien est à l'origine de la première révolution médicale	27. Parmi les propositions suivantes concernant la première révolution médicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130327	FAUX	A. Faux : c'est Hippocrate						
B. Hippocrate, successeur de Galien, mena la médecine antique au sommet de son développement	27. Parmi les propositions suivantes concernant la première révolution médicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130327	FAUX	B. C'est Galien, au IIème siècle après JC, qui emmena la médecine antique au sommet de son développement						
C. Galien instaura une véritable éthique professionnelle, avec notamment un serment à respecter, et l'instauration des devoirs des médecins envers leur corporation et leurs patients	27. Parmi les propositions suivantes concernant la première révolution médicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130327	FAUX	C. C'est l'œuvre d'Hippocrate						
D. Hippocrate est à l'origine de la démarche clinique ( klinê = lit), fondée notamment sur l'observation du patient	27. Parmi les propositions suivantes concernant la première révolution médicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130327	VRAI							
E. Hippocrate privilégiait le pronostic au diagnostic.	27. Parmi les propositions suivantes concernant la première révolution médicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130327	VRAI							
A. La première révolution biologique survint à la Renaissance	28. Parmi les propositions suivantes concernant les révolutions médicales, indiquez la (les) proposition(s) vraie(s) :	UE7T130328	VRAI							
B. Cette première révolution biologique s'articula autour de personnages comme Laennec et Darwin	28. Parmi les propositions suivantes concernant les révolutions médicales, indiquez la (les) proposition(s) vraie(s) :	UE7T130328	FAUX	B. Faux ! Autour de personnages tels que Galilée, Vésale, Harvey						
C. Mendel et Pasteur furent des acteurs de la deuxième révolution biologique	28. Parmi les propositions suivantes concernant les révolutions médicales, indiquez la (les) proposition(s) vraie(s) :	UE7T130328	VRAI							
D. La troisième révolution médicale survint aux alentours de la moitié du XXème siècle : la médecine devint alors enfin efficace avec l'essor de la thérapeutique	28. Parmi les propositions suivantes concernant les révolutions médicales, indiquez la (les) proposition(s) vraie(s) :	UE7T130328	VRAI							
E. La troisième révolution biologique (techno biologique) débuta aux alentours de 1900.	28. Parmi les propositions suivantes concernant les révolutions médicales, indiquez la (les) proposition(s) vraie(s) :	UE7T130328	FAUX	E. Elle débuta vers 1980						
A. Le progrès général des sciences au XIXème siècle participa au développement de la bio‐physiologie	29. Parmi les propositions suivantes concernant la métamorphose de la médecine, indiquez la (les) proposition(s) vraie(s) :	UE7T130329	VRAI							
B. Cette métamorphose au XIXème siècle se fit principalement sans outils nouveaux : il fallut attendre le XXème siècle pour voir apparaître des outils nouveaux efficaces	29. Parmi les propositions suivantes concernant la métamorphose de la médecine, indiquez la (les) proposition(s) vraie(s) :	UE7T130329	FAUX	B. Faux : De nouveaux outils très importants furent développés, encore utilisés aujourd'hui : des outils matériels (ex : colorants, stéthoscope), théoriques (ex : développement des statistiques), et collectifs (ex : journaux scientifiques, bibliothèques)						
C. La démarche expérimentale se développa particulièrement dès le XVIIème siècle	29. Parmi les propositions suivantes concernant la métamorphose de la médecine, indiquez la (les) proposition(s) vraie(s) :	UE7T130329	FAUX	C. Elle se développa particulièrement au XIXème siècle (Claude Bernard, Louis Pasteur...)						
D. Le négativisme d'Auguste Comte participa au progrès général des sciences au XIXème siècle	29. Parmi les propositions suivantes concernant la métamorphose de la médecine, indiquez la (les) proposition(s) vraie(s) :	UE7T130329	FAUX	D. Le POSITIVISME d'Auguste Comte !						
E. La découverte de la cellule (par Schleiden et Schwann notamment) s'intègre dans ces progrès du XIXème siècle.	29. Parmi les propositions suivantes concernant la métamorphose de la médecine, indiquez la (les) proposition(s) vraie(s) :	UE7T130329	VRAI	E. Vrai, Schleiden et Schwann sont des fondateurs de la théorie cellulaire : tous les organismes sont faits de petites unités : les cellules. Virchow participa également à l'élaboration de cette théorie cellulaire (cf. cours)						
A. Dans l'Antiquité, des poisons étaient expérimentés sur des condamnés	30. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130330	VRAI							
B. Frédéric II fit des expérimentations sur des humains afin de comprendre le déroulement de la vidange gastrique	30. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130330	VRAI							
C. James Lind mena un essai sur le scorbut afin de déterminer quel était le meilleur remède contre le scorbut.	30. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130330	VRAI							
D. Jusqu'à une période récente (y compris au cours du XXème siècle), les populations vulnérables, en situation d'infériorité sociale, étaient utilisées dans le cadre de la recherche biomédicale	30. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130330	VRAI							
E. Les expérimentations sur les prisonniers ont cessé à la Renaissance.	30. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130330	FAUX	E. Faux, les prisonniers et condamnés à mort étaient encore utilisés à des fins expérimentales au début du XXème siècle, dans certains pays (Etats-Unis, Philippines...)						
A. William Beaumont est à l'origine du premier code d'éthique de la recherche médicale	31. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130331	VRAI	A. Vrai, c'est son ouvrage sur la physiologie de la digestion humaine, mené grâce à des expérimentations sur un trappeur canadien, qui est considéré comme le premier code d'éthique						
B. William Beaumont mena des expériences sur le processus de la digestion humaine	31. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130331	VRAI							
C. William Beaumont considère que l'expérience ne peut cependant pas être arrêtée à la demande du sujet, pour les besoins de la science	31. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130331	FAUX	C. Faux ! Au contraire : arrêt de l'expérience à la demande						
D. Claude Bernard estime que l'on peut mener des expériences sur les animaux, d'une manière entière et absolue. 	31. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T1303	VRAI							
E. Selon Claude Bernard, des expériences peuvent être menées sur des sujets humains, seulement si toutefois elles ne peuvent pas leur nuire.	31. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130331	VRAI							
A. Les médecins déportés, détenus dans les camps de concentration, par le rôle qu'ils ont joué, sont considérés comme des collaborateurs nazis à part entière	32. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130332	FAUX	A. Faux ! Au contraire, on ne peut pas porter de jugement sur la situation dans laquelle se trouvaient les médecins déportés : cette situation ambiguë les exposait à des dilemmes éthiques insurmontables. Ils devaient obéir aux ordres des nazis et n'avaient de plus aucun matériel pour dispenser des soins aux déportés. Leur rôle fut donc très paradoxal						
B. Ces médecins détenus dans les camps devaient mener des expériences sur les déportés, les cadavres, et rédiger des comptes-­‐rendus à la demande des médecins nazis	32. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130332	VRAI							
C. Il était demandé aux laboratoires allemands d'envoyer leurs médicaments dans les camps, mais ceux-­‐ci pensaient à l'époque que ces médicaments étaient commandés dans un but thérapeutique	32. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130332	FAUX	C. Faux ! Les laboratoires envoyaient leurs médicaments dans le but, par exemple, d'en tester la dose mortelle sur les prisonniers des camps						
D. Le procès de Nuremberg des médecins nazis eut lieu en 1949	32. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130332	FAUX	D. Faux : En 1946, et le jugement fut rendu en 1947						
E. De nombreux médecins détenus dans les camps furent condamnés à mort par pendaison quand le jugement fut rendu.	32. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130332	FAUX	E. Faux ! Le procès jugea l'implication des médecins nazis, et non celle des détenus ! Certains médecins nazis furent condamnés à mort en revanche						
A. La déclaration d'Helsinki fut adoptée en 1988	33. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130333	FAUX	A. Faux ! Elle fut adoptée en 1964. C'est la loi Huriet-Serusclat qui fut adoptée en 1988						
B. L'Association Médicale Mondiale est à l'origine de la déclaration d'Helsinki	33. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130333	VRAI							
C. Le rapport Belmont posa plusieurs principes, dont les suivants : consentement formalisé (écrit) du sujet participant à l'expérience, arrêt de l'expérience à la demande du sujet	33. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130333	FAUX	C. Faux, revoir le « principisme » du rapport Belmont (1978) dans le cours						
D. Le rapport Belmont posa le principe de la bienfaisance obligatoire dans le cadre de l'expérimentation humaine, et le principe complémentaire de la non malfaisance	33. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130333	VRAI							
E. La loi Huriet‐Serusclat a été adoptée en 2002.	33. Parmi les propositions suivantes concernant l'éthique et la recherche biomédicale, indiquez la (les) proposition(s) vraie(s) :	UE7T130333	FAUX	E. Elle fut adoptée en 1988 : date à retenir , car cette loi est importante : elle est la première à fixer un cadre légal aux expérimentations cliniques en France. Elle est aussi appelée simplement loi Huriet						
A. L'anesthésie générale entraine une abolition de la douleur dans tout l'organisme, associée à une perte de conscience complète mais à un maintien autonome de la ventilation	34. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130334	FAUX	A. Faux : Il y a aussi une abolition complète de la ventilation						
B. Quand on réalise une anesthésie locale, il est important d'insensibiliser le tissu musculaire et le tissu sous cutané pour éviter la douleur	34. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130334	FAUX	B. Faux, car les récepteurs à la douleur sont essentiellement localisés dans la peau						
C. Dans l'anesthésie générale par inhalation, l'agent anesthésique est un gaz qui est respiré	34. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130334	VRAI							
D. Le curare permet une anesthésie du patient en le plongeant dans un sommeil profond	34. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130334	FAUX	D. Le curare permet un relâchement musculaire, une paralysie des muscles						
E. Les agents morphiniques entraînent une analgésie (= ils suppriment la douleur).	34. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130334	VRAI							
A. Crawford Williamson Long, dentiste, se fit arracher une dent sous protoxyde d'azote en 1844	35. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130335	FAUX	A. Faux : Il s'agit d'Horace Wells						
B. La première anesthésie générale eut lieu en 1842	35. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130335	VRAI							
C. Horace Wells fit une démonstration publique brillante, devant le chirurgien John Collins Warren, des effets du protoxyde d'azote : cette réussite permit de populariser cet agent anesthésique	35. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130335	FAUX	C. Faux : Cette démonstration fut un échec cuisant pour Wells						
D. William Thomas Green Morton expérimenta les effets de l'éther	35. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130335	VRAI							
E. William Thomas Green Morton subit une véritable humiliation en échouant lors d'une démonstration publique des effets de l'éther, et finit par se suicider.	35. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130335	FAUX	E. Faux, sa démonstration publique, toujours devant le chirurgien John Collins Warren, fut un réel succès, à la différence de celle que fit Horace Wells avec le protoxyde d'azote						
A. C'est en 1846 que William Thomas Green Morton opéra pour la première fois, publiquement, un homme sous anesthésie à l'éther	36. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130336	VRAI							
B.  John Collins Warren, aidé par sa notoriété, fut l'un des grands diffuseurs de l'anesthésie à l'éther	36. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130336	VRAI							
C. Henry J. Bigelow fut un grand propagateur, grâce à sa notoriété, de l'anesthésie au protoxyde d'azote	36. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130336	FAUX	C. Faux : Tout comme Warren, il participa à la propagation de l'anesthésie à l'éther						
D. Horace Wells, dentiste, fut l'un des grands diffuseurs de l'anesthésie	36. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130336	FAUX	D. Hélas, au contraire						
E. John Snow fut le premier médecin à se consacrer très largement à l'anesthésie.	36. Parmi les propositions suivantes concernant l'histoire de l'anesthésie, indiquez la (les) proposition(s) vraie(s) :	UE7T130336	VRAI							
A. Durant la période néolithique, la trépanation n'était pas encore pratiquée, contrairement à certaines amputations	37. Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130337	FAUX	A. Faux : La trépanation (= crâniotomie) est un symbole de la paléomédecine, et était donc pratiquée dès la période néolithique						
B. Pendant la préhistoire, des produits tels que l'argile ou des feuilles d'arbre étaient utilisés comme pansements	37. Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130337	VRAI							
C. L'antiquité, et donc les archéomédecines, débutent avec l'adoption de l'écriture	37. Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130337	VRAI							
D. Le Code du roi Hammurabi est le plus ancien document intégralement consacré à la médecine	37. Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130337	FAUX	D. Faux : Ce code contient des articles faisant référence aux médecins, en effet, cependant, c'est un véritable texte juridique qui englobe tous les aspects de la société						
E. Le Code de Hammurabi date d'environ 1800 avant JC.	37. Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130337	VRAI							
A. Le papyrus Edwin Smith est le plus ancien document traitant de la médecine et de la chirurgie	38.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130338	VRAI							
B. Ce papyrus décrivait de façon assez concise et pauvre l'anatomie humaine et les actes chirurgicaux réalisables, en raison du manque de connaissances dans ce domaine à l'époque	38.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130338	FAUX	B. Faux : Au contraire, ce document égyptien était très riche en détails et faisait état de nombreuses observations anatomiques et cliniques						
C. Chez les Hébreux, la médecine était théurgique	38.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130338	VRAI							
D. Dans le monde gréco-­‐romain, la médecine mythologique était aussi appelée médecine homérique, en référence à Homère	38.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130338	FAUX	D. Faux, la médecine mythologique (-1200) précéda la médecine dite homérique (-800)						
E. Quand la médecine dite mythologique était encore pratiquée, les médecins étaient organisés en corporations et exerçaient dans des officines.	38.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130338	FAUX	E. Faux ! A cette époque, il n'y avait pas de communauté de pensée, et les médecins étaient ambulants						
A. La médecine homérique soignait les blessures de guerre, à l'aide de quelques techniques chirurgicales	39.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130339	VRAI							
B. Le Corpus Hippocraticum ne contenait aucun chapitre propre à la chirurgie	39.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130339	FAUX	B. Faux, le Corpus hippocratique a quelques chapitres consacrés à la chirurgie						
C. Galien exerça la chirurgie et contribua à son développement dans le monde antique	39.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130339	FAUX	C. Faux, Galien estimait que la chirurgie était contre-nature et préconisait d'autres techniques telles que l'amputation par désarticulation						
D. La chirurgie antique concernait trois domaines, dont la gynécologie-­‐obstétrique	39.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130339	VRAI							
E. Dans le monde antique, la pratique de la césarienne était prohibée.	39.  Parmi les propositions suivantes concernant l'histoire de la chirurgie, indiquez la (les) proposition(s) vraie(s) :	UE7T130339	FAUX	E. Faux : la césarienne constitue l'une des pratiques de gynécologie-obstétrique dans le monde antique						
A. La société égyptienne faisait preuve de tolérance envers les infirmes et prônait leur intégration au sein de la famille	40.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130340	VRAI							
B. Au sein de la civilisation mésopotamienne, l'infirme bénéficiait de la charité	40.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130340	FAUX	B. Faux : Ils étaient victimes d'exclusion, leur infirmité étant perçue comme l'expression de la punition des dieux (l'infirmité est une faute humaine commise par la victime)						
C. Les maladies dans la civilisation mésopotamienne étaient nommées « main de (tel dieu) »	40.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130340	VRAI							
D. Les nouveaux nés présentant des anomalies en Mésopotamie étaient exécutés	40.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130340	FAUX	D. Faux : Les nouveaux nés étaient rejetés hors de l'espace social, mais pas exécutés !						
E. En Egypte, l'infirme était responsable de sa maladie et donc renvoyé hors du cadre social.	40.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130340	FAUX	E. Faux : Au contraire, en Egypte, l'infirme devait être toléré et intégré						
A. En Palestine, l'infirme avait une place dans la société et était autorisé de culte	41.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130341	VRAI							
B. L'éthique hébraïque recommande de traiter avec bonté et compassion l'infirme, comme le pauvre	41.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130341	VRAI							
C. Au sein de la Grèce Antique (2000 avant JC), l'infirmité était vue comme un maléfice, un signe avertisseur des dieux	41.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130341	VRAI							
D. En Mésopotamie, les nouveaux nés difformes subissaient le rite d'exposition	41.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130341	FAUX	D. Faux : Les nouveaux-nés infirmes étaient exposés en Grèce : ce rite consistait à déposer à l'écart des nouveaux-nés jugés indésirables						
E. Dans la société grecque antique, le corps était méprisé, l'esprit valorisé et glorifié.	41.  Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130341	FAUX	E. Faux : Glorification du corps (importance des Jeux Olympiques) et de l'esprit						
A. La civilisation judéo-chrétienne a longtemps considéré les infirmes comme des êtres maléfiques	42. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130342	FAUX	A. Faux : Dans la civilisation judéo-chrétienne, les infirmes sont reconnus comme des personnes, des humains à part entière, ils ont donc une valeur spirituelle						
B. Au Moyen-­‐Age, l'infirmité était considérée comme une punition de Dieu, infligée à une personne fautive qu'il fallait exclure du cadre social	42. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130342	FAUX	B. Faux : Les individus souffrant d'infirmité faisaient l'objet d'une attitude bienveillante, et de charité						
C. Au Moyen-­‐Age, la miséricorde était le comportement à adopter envers les infirmes	42. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130342	VRAI							
D. La survenue des épidémies au XIVème siècle, source de peur, a conduit à la mise à l'écart des personnes souffrant d'infirmité	42. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130342	VRAI							
E. Le développement de l'anatomie au XVIème siècle a participé à l'émergence d'une explication plus rationnelle de l'infirmité.	42. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130342	VRAI							
A. La loi de 1957 donne naissance à la notion de travailleur handicapé	43. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130343	VRAI							
B. La loi de 1975 marque un tournant fondamental dans la place accordée aux handicapés notamment au sein des entreprises	43. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130343	FAUX	B. Faux : C'est la loi de 1987 (loi d'obligation d'emploi des travailleurs handicapés)						
C. Avec la loi de 1987, une obligation d'emploi des travailleurs handicapés a été instaurée	43. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130343	VRAI							
D. Les années 1960 sont marquées par les travaux de Philippe Wood (concept tridimensionnel de Wood)	43. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130343	FAUX	D. Faux : Philippe Wood, rhumatologue britannique, a changé la conception du handicap dans les années 1980						
E. Dans la CIDIH (1980), la déficience est assimilée à une altération d'une structure ou fonction.	43. Parmi les propositions suivantes concernant l'histoire du handicap, indiquez la (les) proposition(s) vraie(s) :	UE7T130343	VRAI	E. CIDIH (ou modèle de Wood) = Classification Internationale des Déficiences Incapacités Handicaps. Publiée par l'OMS en 1980						
A. 1, 5, 2, 3, 4 <br>B. 5, 1, 4, 3, 2 <br>C. 2, 1, 3, 5, 4 <br>D. 1, 5, 2, 4, 3 <br>E. 1, 5, 2, 3, 4	44. Classez chronologiquement ces événements, du plus ancien au plus récent : <br>1. Les lois de Mendel sur l'hérédité <br>2. La troisième révolution médicale <br>3. La Déclaration d'Helsinki <br>4. La troisième révolution bio-technologique <br>5. La vaccination contre la rage par Louis Pasteur	UE7T130344	44. E							
A. 2, 1, 3, 5, 4 <br>B. 1, 2, 4, 3, 5 <br>C. 2, 1, 4, 3, 5 <br>D. 1, 2, 3, 4, 5 <br>E. 2, 1, 5, 4, 3	45. Classez chronologiquement ces événements, du plus ancien au plus récent : <br>1. Le renouveau de l'anatomie avec Vésale (De Humani Corporis Fabrica) <br>2. Le papyrus d'Edwin Smith <br>3. L'étude des tissus par Bichat <br>4. L'idée de la nosologie par Thomas Sydenham <br>5. Armand Trousseau (et ses leçons, Les Cliniques Médicales de l'Hôtel Dieu)	UE7T130345	45. C	ABCDE. Il est important de retenir les siècles et le contexte historique dans lequel s'intègre le personnage ou l'évènement : par exemple, pour situer Armand Trousseau, il suffisait ici de retenir qu'il fait partie des cinq grands cliniciens français de la première moitié du XIXème siècle (« la grande école médicale française ») cités par M. Hecketsweiler. Essayez d'assimiler le plan de vos cours et l'articulation des événements entre eux ! L'œuvre de Vésale sur l'anatomie, De Humani Corporis Fabrica, a été rédigée et publiée en 1543. Thomas Sydenham a vécu au XVIIème siècle.						
A. Du point de vue linguistique, le processus permettant son acquisition et sa mise en œuvre est inné, mais ne se développe pas en interaction avec la réception d'une langue.	1. A propos du langage :	UE7T110301	FAUX	A. Le processus permettant la mise en place du langage est inné, mais ne peut se développer qu'en interaction avec la réception d'une langue, et la qualité de l'environnement.						
